Usuario|NumEventos_Ed1|NumInteraccVideos_Ed1|NumInteraccProy_Ed1|NumInteraccDoc_Ed1|NumInteraccForo_Ed1|NumInteraccProb_Ed1|NumInteraccEjer_Ed1|NumInteraccActiv_Ed1|NumProbCorrect_Ed1|NumProbAttepts_Ed1|NotaProy_Ed1|WordsForum_Ed1|A->A_Ed1|A->D_Ed1|A->E_Ed1|A->F_Ed1|A->P_Ed1|A->V_Ed1|D->A_Ed1|D->D_Ed1|D->E_Ed1|D->F_Ed1|D->P_Ed1|D->V_Ed1|E->A_Ed1|E->D_Ed1|E->E_Ed1|E->F_Ed1|E->P_Ed1|E->V_Ed1|F->A_Ed1|F->D_Ed1|F->E_Ed1|F->F_Ed1|F->P_Ed1|F->V_Ed1|P->A_Ed1|P->D_Ed1|P->E_Ed1|P->F_Ed1|P->P_Ed1|P->V_Ed1|V->A_Ed1|V->D_Ed1|V->E_Ed1|V->F_Ed1|V->P_Ed1|V->V_Ed1|NumSEJavaCorrect|suspect
1001424|308|264|0|2|0|28|14|0|21|28|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04|0.0|0.0|0.0|0.04|0.0|0.0|0.28|0.0|0.0|0.24|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.28|0.0|0.0|0.12|9|0
1009760|126|115|0|0|0|3|3|0|1|4|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.16666666666666666|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.16666666666666666|0.0|0.0|0.3333333333333333|0|0
1010202|193|155|0|0|0|24|10|0|18|24|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.29411764705882354|0.0|0.0|0.23529411764705882|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.29411764705882354|0.0|0.0|0.17647058823529413|8|0
1023758|124|0|0|5|0|108|47|54|93|121|0|0|0.47619047619047616|0.009523809523809525|0.01904761904761905|0.0|0.0|0.0|0.0|0.0380952380952381|0.009523809523809525|0.0|0.0|0.0|0.0380952380952381|0.0|0.4095238095238095|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5|1
103799|497|321|0|1|0|135|61|59|92|170|0|0|0.37583892617449666|0.0|0.0|0.0|0.0|0.020134228187919462|0.0|0.0|0.0|0.0|0.0|0.006711409395973154|0.020134228187919462|0.006711409395973154|0.2483221476510067|0.0|0.0|0.12751677852348994|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1610738255033557|0.0|0.0|0.03355704697986577|9|0
1039725|913|665|4|7|0|144|68|62|143|154|25|0|0.24271844660194175|0.009708737864077669|0.0|0.0|0.009708737864077669|0.038834951456310676|0.009708737864077669|0.009708737864077669|0.0|0.0|0.0|0.014563106796116505|0.014563106796116505|0.0|0.1650485436893204|0.0|0.0|0.15048543689320387|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.019417475728155338|0.03398058252427184|0.014563106796116505|0.1650485436893204|0.0|0.009708737864077669|0.09223300970873786|11|0
1040408|844|690|0|0|0|92|36|56|100|126|0|0|0.4322033898305085|0.0|0.0|0.0|0.0|0.03389830508474576|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1864406779661017|0.0|0.0|0.11864406779661017|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0423728813559322|0.0|0.11864406779661017|0.0|0.0|0.06779661016949153|0|0
1041154|223|178|0|0|0|30|15|1|23|32|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.32|0.0|0.0|0.28|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04|0.0|0.28|0.0|0.0|0.08|9|0
1051263|268|203|0|0|0|35|14|10|34|38|0|0|0.23076923076923078|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1282051282051282|0.0|0.0|0.23076923076923078|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02564102564102564|0.0|0.23076923076923078|0.0|0.0|0.15384615384615385|8|0
1054708|220|204|0|1|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.125|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.125|0.0|0.0|0.0|0.75|0|0
1060716|105|75|0|0|0|18|4|0|14|19|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1111111111111111|0.0|0.0|0.3333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.2222222222222222|11|0
106163|897|740|1|1|0|102|41|46|87|116|7|0|0.3360655737704918|0.0|0.0|0.0|0.00819672131147541|0.02459016393442623|0.0|0.0|0.0|0.0|0.0|0.00819672131147541|0.02459016393442623|0.0|0.18032786885245902|0.0|0.0|0.13114754098360656|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00819672131147541|0.01639344262295082|0.0|0.1557377049180328|0.0|0.0|0.10655737704918032|7|0
