Usuario,A->A,A->D,A->E,A->F,A->P,A->V,D->A,D->D,D->E,D->F,D->P,D->V,E->A,E->D,E->E,E->F,E->P,E->V,F->A,F->D,F->E,F->F,F->P,F->V,P->A,P->D,P->E,P->F,P->P,P->V,V->A,V->D,V->E,V->F,V->P,V->V
6139738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,5
6445710,0,0,0,0,0,0,0,44,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,67
6451715,15,1,0,0,0,0,0,4,0,0,0,1,1,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,4
2507090,73,0,2,0,3,0,0,13,0,0,0,1,5,0,42,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,0,0,1
6757226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6424889,51,1,0,0,4,1,1,12,0,0,0,2,5,1,26,0,0,14,0,0,0,0,0,0,0,0,1,0,0,3,0,0,19,0,1,5
6446854,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2
6407163,16,0,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
458399,21,0,0,0,0,1,0,0,0,0,0,0,1,0,17,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,7
6539632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
6419893,65,0,0,2,2,2,0,10,0,0,0,2,3,0,14,0,0,28,1,0,0,6,2,2,0,0,0,1,0,3,2,2,31,2,1,9
4884868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1
2266804,0,0,0,0,0,0,0,5,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,19
6360335,15,0,0,0,0,1,0,38,2,0,0,3,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,8
6431460,75,0,3,0,0,2,0,20,1,0,0,2,5,1,52,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,4
4378378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2
6544600,30,1,0,0,0,4,1,6,0,0,0,4,1,1,15,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,0,0,11
6574025,0,0,0,0,0,0,0,28,0,0,0,3,0,1,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,1
6652057,31,0,0,0,0,3,0,0,0,0,0,0,2,0,26,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,8
6475726,7,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2
1390336,11,0,0,0,0,4,0,0,0,0,0,0,1,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,6
5548164,0,0,0,0,0,0,0,3,0,0,0,4,0,0,7,1,0,3,0,0,0,8,0,4,0,0,0,0,0,0,0,3,4,4,0,14
483946,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2
6456836,26,0,0,0,0,5,0,31,0,1,0,3,2,0,19,1,0,21,0,1,0,3,1,0,0,0,0,0,0,0,3,2,24,0,0,4
4771119,0,0,0,0,0,0,0,2,0,0,0,2,0,1,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1
6556903,38,0,0,0,0,2,0,22,1,0,0,3,2,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,0,0,1
6409429,18,0,0,0,0,2,0,13,0,0,0,2,0,1,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,15
