Usuario,A->A,A->D,A->E,A->F,A->P,A->V,D->A,D->D,D->E,D->F,D->P,D->V,E->A,E->D,E->E,E->F,E->P,E->V,F->A,F->D,F->E,F->F,F->P,F->V,P->A,P->D,P->E,P->F,P->P,P->V,V->A,V->D,V->E,V->F,V->P,V->V
6139738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.26666666666666666,0.0,0.0,0.16666666666666666
6445710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3793103448275862,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02586206896551724,0.0,0.0,0.0,0.5775862068965517
6451715,0.30612244897959184,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.08163265306122448,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.16326530612244897,0.0,0.0,0.08163265306122448
2507090,0.4506172839506173,0.0,0.012345679012345678,0.0,0.018518518518518517,0.0,0.0,0.08024691358024691,0.0,0.0,0.0,0.006172839506172839,0.030864197530864196,0.0,0.25925925925925924,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.006172839506172839,0.0,0.0,0.06790123456790123,0.0,0.0,0.006172839506172839
6757226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6424889,0.3469387755102041,0.006802721088435374,0.0,0.0,0.027210884353741496,0.006802721088435374,0.006802721088435374,0.08163265306122448,0.0,0.0,0.0,0.013605442176870748,0.034013605442176874,0.006802721088435374,0.17687074829931973,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.02040816326530612,0.0,0.0,0.1292517006802721,0.0,0.006802721088435374,0.034013605442176874
6446854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.2916666666666667,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.2916666666666667,0.0,0.0,0.08333333333333333
6407163,0.42105263157894735,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.2894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.18421052631578946
458399,0.2692307692307692,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.21794871794871795,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.0,0.0,0.08974358974358974
6539632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333
