id,grade,,Actividades 01,Actividades 02,Actividades 03,Actividades 04,Actividades 05,Actividades 06,Actividades Avg,Proyecto 01,Proyecto 02,Proyecto 03,Proyecto 04,Proyecto 05,Proyecto Avg,Preguntas cortas 01,Preguntas cortas 02,Preguntas cortas 03,Preguntas cortas 04,Preguntas cortas 05,Preguntas cortas 06,Preguntas cortas 07,Preguntas cortas 08,Preguntas cortas 09,Preguntas cortas 10,Preguntas cortas Avg,Final,,,,,
6520546,1,0.9975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,0.975,1,0,0,0,0,0
5751747,0.99,0.99253787878788,1,1,1,0.909090909091,1,1,0.984848484848,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333,1,0.875,1,0.970833333333,1,0,0,0,0,0
6609243,0.99,0.99074441786281,0.894736842105,0.958333333333,1,1,1,1,0.975511695906,1,1,1,1,1,1,0.9,1,1,0.909090909091,1,1,1,1,1,1,0.980909090909,1,0,0,0,0,0
2107774,0.99,0.9898305084745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.966101694915,0,0,0,0,0
6543078,0.99,0.98719892952715,0.947368421053,1,1,1,1,1,0.991228070175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.966101694915,0,0,0,0,0
4791948,0.99,0.9845350877193,0.947368421053,0.958333333333,1,1,0.875,1,0.963450292398,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,0.75,1,0.955,1,0,0,0,0,0
5922465,0.98,0.98433808423206,1,0.958333333333,1,1,1,1,0.993055555556,1,1,1,1,1,1,1,0.75,1,0.909090909091,1,1,1,1,1,1,0.965909090909,0.966101694915,0,0,0,0,0
4572424,0.98,0.98361842105265,0.947368421053,1,1,1,1,0.75,0.949561403509,1,1,1,1,1,1,1,1,0.875,1,1,1,1,1,1,1,0.9875,1,0,0,0,0,0
6616865,0.98,0.9827003419567,0.947368421053,0.958333333333,1,1,0.875,1,0.963450292398,1,1,1,1,1,1,1,1,0.875,1,1,1,1,1,1,1,0.9875,0.983050847458,0,0,0,0,0
5343437,0.98,0.98020030816645,1,1,1,0.909090909091,1,1,0.984848484848,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.949152542373,0,0,0,0,0
6431667,0.98,0.9799152542374,1,1,1,1,1,1,1,1,1,1,1,0.75,0.95,1,1,1,1,1,1,1,1,1,1,1,0.983050847458,0,0,0,0,0
6199192,0.98,0.97952472089315,0.894736842105,0.916666666667,1,0.909090909091,1,1,0.95341573631,1,1,1,1,1,1,0.6,0.75,1,1,1,1,1,1,1,1,0.935,1,0,0,0,0,0
6606208,0.98,0.97823963317385,0.947368421053,0.958333333333,1,0.909090909091,0.875,1,0.948298777246,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.75,0.875,1,0.9375,1,0,0,0,0,0
6403778,0.98,0.97702943800195,0.947368421053,1,1,1,1,1,0.991228070175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.932203389831,0,0,0,0,0
249891,0.98,0.9748305084745,1,1,1,1,1,1,1,0.75,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,0.966101694915,0,0,0,0,0
6316147,0.97,0.97416242937855,1,0.958333333333,1,1,1,1,0.993055555556,1,0.875,1,1,1,0.975,0.9,1,1,1,1,1,1,1,1,1,0.99,0.949152542373,0,0,0,0,0
6191607,0.97,0.97298539588575,0.947368421053,0.958333333333,1,0.909090909091,1,1,0.969132110579,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.975,0.949152542373,0,0,0,0,0
480965,0.97,0.96937175952211,0.947368421053,0.958333333333,1,1,1,1,0.984283625731,1,1,1,1,1,1,0.9,1,1,0.909090909091,0.75,0.5,1,1,0.875,1,0.893409090909,0.949152542373,0,0,0,0,0
6482127,0.97,0.9669915254238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1,1,1,1,1,0.875,1,0.975,0.898305084746,0,0,0,0,0
6609454,0.97,0.96539114832537,0.947368421053,0.875,0.833333333333,1,1,1,0.942616959064,1,1,1,1,1,1,0.7,0.5,1,0.727272727273,1,1,0.666666666667,1,1,0.666666666667,0.826060606061,1,0,0,0,0,0
6548623,0.97,0.96490209634266,0.894736842105,1,1,0.818181818182,1,1,0.952153110048,0.875,1,1,1,1,0.975,0.9,1,0.875,0.909090909091,0.75,1,1,0.75,1,1,0.918409090909,0.983050847458,0,0,0,0,0
